[2025-08-18 17:24:04] === Starting Large Orgs Bucket 4 Repo Health Collection ===
[2025-08-18 17:24:04] Collecting: commits_last_30d + PRs_closed_30d
[2025-08-18 17:24:04] Input file: data/repos/batch_Aug_18/org_repo_counts_large_bucket4.csv
[2025-08-18 17:24:04] Output file: data/output/repo_health_large_bucket4.csv
[2025-08-18 17:30:23]   OK crowdstrike/go-metrics-sliding-window: 2 commits, 12 PRs
[2025-08-18 17:30:26]   OK crowdstrike/foundry-js-blueprint-react: 6 commits, 68 PRs
[2025-08-18 17:30:29]   OK crowdstrike/foundry-sample-functions-python: 22 commits, 28 PRs
[2025-08-18 17:30:30]   OK crowdstrike/foundry-js-blueprint-javascript: 2 commits, 11 PRs
[2025-08-18 17:30:33]   OK crowdstrike/monorepo-next: 2 commits, 95 PRs
[2025-08-18 17:30:36]   OK crowdstrike/falcon-helm: 5 commits, 85 PRs
[2025-08-18 17:30:39]   OK crowdstrike/eslint-config-crowdstrike-node: 1 commits, 89 PRs
[2025-08-18 17:30:41]   OK crowdstrike/foundry-sample-idp-notifications: 2 commits, 6 PRs
[2025-08-18 17:30:43]   OK crowdstrike/foundry-sample-insider-threat: 2 commits, 12 PRs
[2025-08-18 17:30:45]   OK crowdstrike/foundry-sample-servicenow-idp: 43 commits, 4 PRs
[2025-08-18 17:30:47]   OK crowdstrike/eslint-config-crowdstrike: 1 commits, 91 PRs
[2025-08-18 17:30:50]   OK crowdstrike/Falcon-Toolkit: 0 commits, 53 PRs
[2025-08-18 17:30:54]   OK crowdstrike/gofalcon: 4 commits, 79 PRs
[2025-08-18 17:30:56]   OK crowdstrike/ansible_collection_falcon: 6 commits, 93 PRs
[2025-08-18 17:30:59]   OK crowdstrike/rusty-falcon: 16 commits, 88 PRs
[2025-08-18 17:31:02]   OK crowdstrike/omigo-data-analytics: 0 commits, 74 PRs
[2025-08-18 17:31:04]   OK crowdstrike/falcon-openshift-console-plugin: 0 commits, 23 PRs
[2025-08-18 17:31:06]   OK crowdstrike/foundry-sample-threat-intel: 6 commits, 5 PRs
[2025-08-18 17:31:08]   OK crowdstrike/pulumi-crowdstrike: 0 commits, 71 PRs
[2025-08-18 17:31:10]   OK crowdstrike/cloud-registry-connections: 6 commits, 2 PRs
[2025-08-18 17:31:12]   OK crowdstrike/falconutil-action: 6 commits, 9 PRs
[2025-08-18 17:31:15]   OK crowdstrike/falcon-integration-gateway: 2 commits, 95 PRs
[2025-08-18 17:31:18]   OK crowdstrike/caracara: 0 commits, 35 PRs
[2025-08-18 17:31:20]   OK crowdstrike/scoop-foundry-cli: 1 commits, 0 PRs
[2025-08-18 17:31:21]   OK crowdstrike/homebrew-foundry-cli: 1 commits, 0 PRs
[2025-08-18 17:31:24]   OK crowdstrike/alloy-react: 0 commits, 20 PRs
