[2025-08-18 17:24:03] === Starting Large Orgs Bucket 1 Repo Health Collection ===
[2025-08-18 17:24:03] Collecting: commits_last_30d + PRs_closed_30d
[2025-08-18 17:24:03] Input file: data/repos/batch_Aug_18/org_repo_counts_large_bucket1.csv
[2025-08-18 17:24:03] Output file: data/output/repo_health_large_bucket1.csv
[2025-08-18 17:24:03] Starting repo extraction for 13 organizations
[2025-08-18 17:32:53]   OK aws/aws-bedrock-token-generator-js: 1 commits, 4 PRs
[2025-08-18 17:32:56]   OK aws/aws-iot-device-sdk-java: 0 commits, 35 PRs
[2025-08-18 17:32:59]   OK aws/aws-sdk-js: 0 commits, 83 PRs
[2025-08-18 17:33:01]   OK aws/aws-health-tools: 0 commits, 48 PRs
[2025-08-18 17:33:04]   OK aws/eks-news: 2 commits, 95 PRs
[2025-08-18 17:33:06]   OK aws/amazon-q-connectjs: 2 commits, 32 PRs
[2025-08-18 17:33:08]   OK aws/modern-data-architecture-accelerator: 0 commits, 0 PRs
[2025-08-18 17:33:11]   OK aws/sagemaker-spark-container: 0 commits, 69 PRs
[2025-08-18 17:33:14]   OK aws/aws-parallelcluster-ui: 0 commits, 73 PRs
[2025-08-18 17:33:16]   OK aws/aws-northstar: 0 commits, 54 PRs
[2025-08-18 17:33:18]   OK aws/dotnet: 0 commits, 36 PRs
[2025-08-18 17:33:21]   OK aws/aws-logging-dotnet: 0 commits, 90 PRs
[2025-08-18 17:33:23]   OK aws/aws-dotnet-distributed-cache-provider: 0 commits, 81 PRs
[2025-08-18 17:33:26]   OK aws/aws-aspnet-cognito-identity-provider: 0 commits, 88 PRs
[2025-08-18 17:33:29]   OK aws/aws-dotnet-deploy: 0 commits, 83 PRs
[2025-08-18 17:33:32]   OK aws/aws-iot-device-sdk-embedded-C: 0 commits, 83 PRs
[2025-08-18 17:33:34]   OK aws/etcdadm-bootstrap-provider: 0 commits, 41 PRs
[2025-08-18 17:33:37]   OK aws/etcdadm-controller: 0 commits, 61 PRs
[2025-08-18 17:33:40]   OK aws/aws-app-mesh-controller-for-k8s: 0 commits, 83 PRs
[2025-08-18 17:33:40] Processing org 3/13: Amazon (amzn)
[2025-08-18 17:33:47]   OK amzn/rdma-core: 0 commits, 0 PRs
[2025-08-18 17:33:49]   OK amzn/selling-partner-api-samples: 17 commits, 71 PRs
[2025-08-18 17:33:52]   OK amzn/selling-partner-api-models: 6 commits, 13 PRs
[2025-08-18 17:33:54]   OK amzn/app-platform: 42 commits, 81 PRs
[2025-08-18 17:33:57]   OK amzn/selling-partner-api-sdk: 30 commits, 79 PRs
[2025-08-18 17:33:59]   OK amzn/selling-partner-api-php-release: 4 commits, 11 PRs
[2025-08-18 17:34:01]   OK amzn/smoke-dynamodb: 0 commits, 81 PRs
[2025-08-18 17:34:03]   OK amzn/refuel-open-domain-qa: 0 commits, 1 PRs
[2025-08-18 17:34:05]   OK amzn/glad: 0 commits, 0 PRs
[2025-08-18 17:34:07]   OK amzn/fashion-attribute-disentanglement: 0 commits, 0 PRs
[2025-08-18 17:34:09]   OK amzn/ads-pao-amznjs-gtm-server-side-template: 8 commits, 5 PRs
[2025-08-18 17:34:11]   OK amzn/smoke-aws-support: 1 commits, 20 PRs
[2025-08-18 17:34:13]   OK amzn/trans-encoder: 0 commits, 11 PRs
[2025-08-18 17:34:14]   OK amzn/user-satisfaction-modeling: 0 commits, 5 PRs
[2025-08-18 17:34:17]   OK amzn/pretraining-or-self-training: 0 commits, 27 PRs
[2025-08-18 17:34:18]   OK amzn/amazon-pay-api-sdk-nodejs: 0 commits, 4 PRs
[2025-08-18 17:34:21]   OK amzn/lib-3d-scene-viewer: 4 commits, 21 PRs
[2025-08-18 17:34:23]   OK amzn/amzn-drivers: 0 commits, 62 PRs
[2025-08-18 17:34:25]   OK amzn/amazon-pay-api-sdk-java: 0 commits, 1 PRs
[2025-08-18 17:34:25] Processing org 4/13: Apple (apple)
[2025-08-18 17:34:38]   OK apple/containerization: 33 commits, 89 PRs
[2025-08-18 17:34:40]   OK apple/container: 39 commits, 90 PRs
[2025-08-18 17:34:43]   OK apple/swift-protobuf: 22 commits, 88 PRs
[2025-08-18 17:34:47]   OK apple/swift-nio: 31 commits, 90 PRs
[2025-08-18 17:34:50]   OK apple/swift-collections: 14 commits, 88 PRs
[2025-08-18 17:34:52]   OK apple/app-store-server-library-node: 15 commits, 29 PRs
[2025-08-18 17:34:54]   OK apple/embedding-atlas: 12 commits, 13 PRs
[2025-08-18 17:34:57]   OK apple/app-store-server-library-java: 0 commits, 81 PRs
[2025-08-18 17:34:59]   OK apple/swift-xcode-playground-support: 0 commits, 39 PRs
[2025-08-18 17:35:02]   OK apple/swift-homomorphic-encryption: 5 commits, 98 PRs
[2025-08-18 17:35:04]   OK apple/swift-play-experimental: 6 commits, 3 PRs
[2025-08-18 17:35:06]   OK apple/foundationdb: 23 commits, 90 PRs
