[2025-08-18 17:24:03] === Starting Large Orgs Bucket 2 Repo Health Collection ===
[2025-08-18 17:24:03] Collecting: commits_last_30d + PRs_closed_30d
[2025-08-18 17:24:03] Input file: data/repos/batch_Aug_18/org_repo_counts_large_bucket2.csv
[2025-08-18 17:24:03] Output file: data/output/repo_health_large_bucket2.csv
[2025-08-18 17:24:03] Starting repo extraction for 13 organizations
[2025-08-18 17:30:38]   OK telekom-mms/terraform-azurerm-network: 0 commits, 22 PRs
[2025-08-18 17:30:40]   OK telekom-mms/terraform-azurerm-key-vault: 0 commits, 15 PRs
[2025-08-18 17:30:42]   OK telekom-mms/cmcc-operator: 5 commits, 63 PRs
[2025-08-18 17:30:44]   OK telekom-mms/falcon-eye-monitoring: 4 commits, 32 PRs
[2025-08-18 17:30:47]   OK telekom-mms/aurelia-components: 0 commits, 96 PRs
[2025-08-18 17:30:50]   OK telekom-mms/confluence-gardner: 13 commits, 100 PRs
[2025-08-18 17:30:51]   OK telekom-mms/hardhat-foundry-starter-kit: 0 commits, 3 PRs
[2025-08-18 17:30:54]   OK telekom-mms/fortilib: 0 commits, 99 PRs
[2025-08-18 17:30:56]   OK telekom-mms/trivy-dojo-report-operator: 33 commits, 80 PRs
[2025-08-18 17:30:58]   OK telekom-mms/cosmo-trigger: 49 commits, 17 PRs
[2025-08-18 17:31:01]   OK telekom-mms/ansible-collection-icinga: 12 commits, 90 PRs
[2025-08-18 17:31:04]   OK telekom-mms/oc-daemon: 5 commits, 100 PRs
[2025-08-18 17:31:06]   OK telekom-mms/web3-helm-charts: 17 commits, 39 PRs
[2025-08-18 17:31:08]   OK telekom-mms/terraform-azurerm-database: 0 commits, 8 PRs
[2025-08-18 17:31:10]   OK telekom-mms/terraform-aws-alb: 11 commits, 1 PRs
[2025-08-18 17:31:12]   OK telekom-mms/terraform-azurerm-container-app: 0 commits, 10 PRs
[2025-08-18 17:31:14]   OK telekom-mms/terraform-azurerm-authorization: 0 commits, 5 PRs
[2025-08-18 17:31:16]   OK telekom-mms/terraform-azurerm-container: 0 commits, 13 PRs
[2025-08-18 17:31:18]   OK telekom-mms/.github: 7 commits, 95 PRs
[2025-08-18 17:31:21]   OK telekom-mms/ansible-collection-acme: 0 commits, 99 PRs
[2025-08-18 17:31:23]   OK telekom-mms/grafiport: 0 commits, 12 PRs
[2025-08-18 17:31:25]   OK telekom-mms/Automated-Ansible-Role-Documentation: 8 commits, 99 PRs
[2025-08-18 17:31:27]   OK telekom-mms/terratest-action: 1 commits, 33 PRs
[2025-08-18 17:31:30]   OK telekom-mms/docker-management-container: 6 commits, 94 PRs
[2025-08-18 17:31:32]   OK telekom-mms/ansible-bad-and-good-practices: 0 commits, 17 PRs
[2025-08-18 17:31:34]   OK telekom-mms/helm-charts: 0 commits, 60 PRs
