org,repo,hyperlink,commits_last_30d,PRs_closed_30d,source,health_score
google,ml-compiler-opt,https://github.com/google/ml-compiler-opt,6,90,GOOGLE,186
dell,common-github-actions,https://github.com/dell/common-github-actions,4,91,LARGE_BUCKET2,186
google,timesketch,https://github.com/google/timesketch,0,93,GOOGLE,186
ibm,platform-services-node-sdk,https://github.com/IBM/platform-services-node-sdk,6,90,IBM,186
oracle,oci-java-sdk,https://github.com/oracle/oci-java-sdk,0,93,LARGE_BUCKET2,186
ibm,mobx-react-router,https://github.com/IBM/mobx-react-router,0,93,IBM,186
ibm,ibmi-bob,https://github.com/IBM/ibmi-bob,0,93,IBM,186
vmware,powershell-module-for-vmware-cloud-foundation-power-management,https://github.com/vmware/powershell-module-for-vmware-cloud-foundation-power-management,0,93,LARGE_BUCKET2,186
crowdstrike,ember-velcro,https://github.com/CrowdStrike/ember-velcro,0,93,LARGE_BUCKET4,186
microsoft,go-images,https://github.com/microsoft/go-images,0,93,MICROSOFT,186
aws,aws-toolkit-azure-devops,https://github.com/aws/aws-toolkit-azure-devops,0,93,LARGE_BUCKET1,186
analogdevicesinc,ai8x-synthesis,https://github.com/analogdevicesinc/ai8x-synthesis,0,93,LARGE_BUCKET3,186
intel,yarpgen,https://github.com/intel/yarpgen,2,92,LARGE_BUCKET2,186
crowdstrike,verror-extra,https://github.com/CrowdStrike/verror-extra,2,92,LARGE_BUCKET4,186
aliyun,darabonba-python-generator,https://github.com/aliyun/darabonba-python-generator,0,93,LARGE_BUCKET1,186
vmware,terraform-provider-vra,https://github.com/vmware/terraform-provider-vra,4,91,LARGE_BUCKET2,186
spotify,scio,https://github.com/spotify/scio,2,92,LARGE_BUCKET3,186
microsoft,go,https://github.com/microsoft/go,0,93,MICROSOFT,186
microsoft,graphitation,https://github.com/microsoft/graphitation,8,89,MICROSOFT,186
uber,NullAway,https://github.com/uber/NullAway,0,93,LARGE_BUCKET2,186
microsoft,navcontainerhelper,https://github.com/microsoft/navcontainerhelper,2,92,MICROSOFT,186
alibaba,x-render,https://github.com/alibaba/x-render,0,93,LARGE_BUCKET1,186
aliyun,darabonba-openapi,https://github.com/aliyun/darabonba-openapi,0,93,LARGE_BUCKET1,186
microsoft,ApplicationInsights-Java,https://github.com/microsoft/ApplicationInsights-Java,46,70,MICROSOFT,186
square,Listable,https://github.com/square/Listable,8,89,LARGE_BUCKET3,186
databricks,terraform-databricks-examples,https://github.com/databricks/terraform-databricks-examples,4,91,LARGE_BUCKET4,186
microsoft,MAPIStubLibrary,https://github.com/microsoft/MAPIStubLibrary,14,86,MICROSOFT,186
google,highway,https://github.com/google/highway,0,93,GOOGLE,186
aws,aws-xray-sdk-java,https://github.com/aws/aws-xray-sdk-java,0,93,LARGE_BUCKET1,186
microsoft,shell-intune-samples,https://github.com/microsoft/shell-intune-samples,0,93,MICROSOFT,186
microsoft,powerplatform-vscode,https://github.com/microsoft/powerplatform-vscode,16,85,MICROSOFT,186
microsoft,fluentui,https://github.com/microsoft/fluentui,0,93,MICROSOFT,186
microsoft,git,https://github.com/microsoft/git,0,93,MICROSOFT,186
adobe,aepsdk-roku,https://github.com/adobe/aepsdk-roku,0,93,LARGE_BUCKET3,186
microsoft,vscode-gradle,https://github.com/microsoft/vscode-gradle,0,93,MICROSOFT,186
microsoft,azure-maven-plugins,https://github.com/microsoft/azure-maven-plugins,0,93,MICROSOFT,186
microsoft,vscode-java-test,https://github.com/microsoft/vscode-java-test,2,92,MICROSOFT,186
spotify,confidence-sdk-android,https://github.com/spotify/confidence-sdk-android,4,91,LARGE_BUCKET3,186
microsoft,terraform-provider-power-platform,https://github.com/microsoft/terraform-provider-power-platform,6,90,MICROSOFT,186
microsoft,MSBuildCache,https://github.com/microsoft/MSBuildCache,0,93,MICROSOFT,186
shopify,shopify-api-ruby,https://github.com/Shopify/shopify-api-ruby,6,90,LARGE_BUCKET3,186
telekom,testerra,https://github.com/telekom/testerra,0,93,LARGE_BUCKET2,186
datadog,dd-sdk-unity,https://github.com/DataDog/dd-sdk-unity,0,93,LARGE_BUCKET4,186
tencent,tquic,https://github.com/Tencent/tquic,0,93,LARGE_BUCKET1,186
cisco,ChezScheme,https://github.com/cisco/ChezScheme,4,91,SMALL_ORGS,186
datadog,datadog-sync-cli,https://github.com/DataDog/datadog-sync-cli,14,86,LARGE_BUCKET4,186
microsoft,perfview,https://github.com/microsoft/perfview,6,90,MICROSOFT,186
datadog,ddprof,https://github.com/DataDog/ddprof,4,91,LARGE_BUCKET4,186
dell,csm-docs,https://github.com/dell/csm-docs,20,83,LARGE_BUCKET2,186
sap,odata-vocabularies,https://github.com/SAP/odata-vocabularies,1,92,LARGE_BUCKET2,185
microsoft,DirectX-Headers,https://github.com/microsoft/DirectX-Headers,5,90,MICROSOFT,185
