org_name,repo_name,issue_title,comments_count,labels,opened_date,hyperlink
shopify,flash-list,[v2] Error tomany update exeed on first render on refresh with press r buttton,3,bug,2025-05-25,https://github.com/shopify/flash-list/issues/1674
shopify,flash-list,[Bug] Android Release - New Architecture: MasonryFlashList render wrong ( may cause blank space or not render fully list ),3,bug,2025-05-26,https://github.com/shopify/flash-list/issues/1675
shopify,flash-list,[v2] item not rendered latest alpha,2,bug,2025-05-24,https://github.com/shopify/flash-list/issues/1673
shopify,flash-list,ERROR  Warning: TypeError: Cannot read property 'bubblingEventTypes' of null,0,bug,2025-05-20,https://github.com/shopify/flash-list/issues/1668
shopify,flash-list,Footer lags behind when the last item height changes,0,bug,2025-05-15,https://github.com/shopify/flash-list/issues/1663
shopify,hydrogen,View GraphiQL API browser down,3,,2025-06-24,https://github.com/shopify/hydrogen/issues/2996
shopify,hydrogen,GraphiQL API browser not loading,3,,2025-07-16,https://github.com/shopify/hydrogen/issues/3019
shopify,hydrogen,`useOptimisticCart` not optimistically updating total cost amounts,1,,2025-07-16,https://github.com/shopify/hydrogen/issues/3018
shopify,hydrogen,localhost:3000/graphiql not working,1,,2025-07-15,https://github.com/shopify/hydrogen/issues/3016
shopify,hydrogen,Browser extensions that modify the DOM cause Hydrogen to crash,2,,2025-07-01,https://github.com/shopify/hydrogen/issues/3004
shopify,hydrogen,Local `https` not working,4,,2025-05-26,https://github.com/shopify/hydrogen/issues/2964
shopify,hydrogen,"Oxygen broken on all environments, including production, preview and local environments.",3,,2025-06-04,https://github.com/shopify/hydrogen/issues/2974
shopify,hydrogen,Shopify Hydrogen Deploy deletes sourcemaps before Sentry Vite plugin runs,5,Bug,2025-05-28,https://github.com/shopify/hydrogen/issues/2965
shopify,hydrogen,"Googlebot gets error 500 """"unable to decode turbo-stream response""""",0,,2025-06-27,https://github.com/shopify/hydrogen/issues/3001
shopify,job-iteration,`dev rbi dsl` is failing with the new version of job-iteration.,1,,2025-06-19,https://github.com/shopify/job-iteration/issues/591
shopify,job-iteration,ban_perform_definition should be removed,0,,2025-06-11,https://github.com/shopify/job-iteration/issues/587
shopify,react-native-skia,"[Expo 53] """"useColorBuffer"""" throwing """" Value is undefined, expected an Object, js engine: hermes""""",0,bug,2025-08-08,https://github.com/shopify/react-native-skia/issues/3275
shopify,react-native-skia,Using alpha mask over a group of radialgradient shaders leads to some weird compositing,0,bug,2025-08-02,https://github.com/shopify/react-native-skia/issues/3254
shopify,react-native-skia,"ReanimatedError: Exception in HostFunction: bad_optional_access, js engine: reanimated",1,bug,2025-07-18,https://github.com/shopify/react-native-skia/issues/3242
shopify,react-native-skia,Image after zoom is pixelated on Android Emulator,0,,2025-07-17,https://github.com/shopify/react-native-skia/issues/3240
shopify,react-native-skia,[Android] gl::Context::makeCurrent Segfault error,6,bug,2025-05-22,https://github.com/shopify/react-native-skia/issues/3156
shopify,react-native-skia,Blend is not working,0,bug,2025-07-11,https://github.com/shopify/react-native-skia/issues/3237
shopify,react-native-skia,[iOS] Canvas is cut off from the bottom,1,bug,2025-07-01,https://github.com/shopify/react-native-skia/issues/3220
shopify,react-native-skia,HLS Support for Video,4,enhancement,2025-05-17,https://github.com/shopify/react-native-skia/issues/3147
